    GET     / (com.graphhopper.application.resources.RootResource)
    GET     /health (com.graphhopper.resources.HealthCheckResource)
    GET     /i18n (com.graphhopper.resources.I18NResource)
    GET     /i18n/{locale} (com.graphhopper.resources.I18NResource)
    GET     /info (com.graphhopper.resources.InfoResource)
    GET     /isochrone (com.graphhopper.resources.IsochroneResource)
    POST    /match (com.graphhopper.resources.MapMatchingResource)
    GET     /mvt/{z}/{x}/{y}.mvt (com.graphhopper.resources.MVTResource)
    GET     /navigate/directions/v5/gh/{profile}/{coordinatesArray : .+} (com.graphhopper.navigation.NavigateResource)
    GET     /nearest (com.graphhopper.resources.NearestResource)
    GET     /route (com.graphhopper.resources.RouteResource)
    POST    /route (com.graphhopper.resources.RouteResource)
    GET     /spt (com.graphhopper.resources.SPTResource)

2024-03-21 12:45:22.204 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@62d40e31{/,null,AVAILABLE}
2024-03-21 12:45:22.247 [main] INFO  io.dropwizard.setup.AdminEnvironment - tasks = 

    POST    /tasks/log-level (io.dropwizard.servlets.tasks.LogConfigurationTask)
    POST    /tasks/gc (io.dropwizard.servlets.tasks.GarbageCollectionTask)

2024-03-21 12:45:22.249 [main] INFO  o.e.j.server.handler.ContextHandler - Started i.d.j.MutableServletContextHandler@7f5fcfe9{/,null,AVAILABLE}
2024-03-21 12:45:22.343 [main] INFO  o.e.jetty.server.AbstractConnector - Started application@3a230001{HTTP/1.1, (http/1.1)}{localhost:8989}
2024-03-21 12:45:22.353 [main] INFO  o.e.jetty.server.AbstractConnector - Started admin@5ac6c4f2{HTTP/1.1, (http/1.1)}{localhost:8990}
2024-03-21 12:45:22.353 [main] INFO  org.eclipse.jetty.server.Server - Started @7442ms
2024-03-21 12:46:05.779 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @2788ms to org.eclipse.jetty.util.log.Slf4jLog
2024-03-21 12:46:05.913 [main] INFO  i.d.server.DefaultServerFactory - Registering jersey handler with root path prefix: /
2024-03-21 12:46:05.916 [main] INFO  i.d.server.DefaultServerFactory - Registering admin handler with root path prefix: /
2024-03-21 12:46:06.286 [main] INFO  io.dropwizard.assets.AssetsBundle - Registering AssetBundle with name: assets for path /maps/*
2024-03-21 12:46:06.290 [main] INFO  io.dropwizard.assets.AssetsBundle - Registering AssetBundle with name: webjars for path /webjars/*
2024-03-21 12:46:06.297 [main] INFO  io.dropwizard.server.ServerFactory - Starting GraphHopperApplication
                        _     _
   __ _ _ __ __ _ _ __ | |__ | |__   ___  _ __  _ __   ___ _ __
  / _` | '__/ _` | '_ \| '_ \| '_ \ / _ \| '_ \| '_ \ / _ \ '__|
 | (_| | | | (_| | |_) | | | | | | | (_) | |_) | |_) |  __/ |
  \__, |_|  \__,_| .__/|_| |_|_| |_|\___/| .__/| .__/ \___|_|
  |___/          |_|                     |_|   |_|
2024-03-21 12:46:06.446 [main] INFO  o.e.jetty.setuid.SetUIDListener - Opened application@78525ef9{HTTP/1.1, (http/1.1)}{localhost:8989}
2024-03-21 12:46:06.446 [main] INFO  o.e.jetty.setuid.SetUIDListener - Opened admin@2d0ecb24{HTTP/1.1, (http/1.1)}{localhost:8990}
2024-03-21 12:46:06.450 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.51.v20230217; built: 2023-02-17T08:19:37.309Z; git: b45c405e4544384de066f814ed42ae3dceacdd49; jvm 21.0.2+13-LTS
2024-03-21 12:46:07.038 [main] INFO  c.g.routing.ch.CHPreparationHandler - There are no CHs to prepare
